NB;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;;
3690;Sharm Yahar, Al Harr;Saudi Arab: Red S.;27,62170;35,52098;;
3699;Sharm el-Sheikh;Gulf of Aqaba ;27,85935;34,29197;;
3701;El-Kura;Gulf of Aqaba ;28,47512;34,49953;;
3733;Khor Shoreh, Shoora;Somalia;10,81966;45,85968;;
3737;Guinni Koma, ile du Diable, inside Ghoubbet el-Karab, Monfreid's Gubet Karab;Djibouti;11,53276;42,52355;;
3737,1;Tadjoura;Djibouti;11,78200;42,87800;;
3738;Obock;Djibouti;11,96618;43,29472;;
3739;Khor Omeira, Monfreid's Kor Omeira;Yemen;12,63834;44,13800;;
3740;Ras Imran;Yemen;12,75368;44,72433;;
3744;Bal Haf, Balihaf;Yemen;13,98272;48,17321;;
3753;Khaisat, south of Ras Fartak;Yemen;15,81540;52,19650;;
3758;Salalah, Raysut;Yemen;16,93713;53,99939;;
3765;Sour;Oman;22,57320;59,53621;;
3767;Bandar Khairan;Oman;23,51978;58,72588;;
3770;Al Suwadi, Sawadi;Oman;23,78597;57,79425;;
4278;Atalayoun, Marchica near Nador;Morocco;35,22072;-2,90773;;
4328;Mohammedia-Fedala;Morocco;33,71213;-7,39773;;
